24-08-20 00:57:03:496 24-08-20 00:57:03 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-20 01:02:08:495 24-08-20 01:02:08 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-20 01:02:09:495 24-08-20 01:02:09 STATECHANGE AT_DEPTH AT_REST
24-08-20 01:02:10:496 24-08-20 01:02:10 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-20 01:02:20:496 24-08-20 01:02:20 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-20 01:02:21:496 24-08-20 01:02:21 STATECHANGE DWELL_DONE HEATING
24-08-20 01:02:41:495 24-08-20 01:02:41 STATECHANGE HEATING DECAY
24-08-20 01:02:51:495 24-08-20 01:02:51 STATECHANGE DECAY POST_MEASURE
24-08-20 01:14:43:496 24-08-20 01:14:43 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-20 01:19:38:495 24-08-20 01:19:38 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-20 01:19:39:495 24-08-20 01:19:39 STATECHANGE AT_DEPTH AT_REST
24-08-20 01:19:40:496 24-08-20 01:19:40 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-20 01:19:50:495 24-08-20 01:19:50 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-20 01:19:51:507 24-08-20 01:19:51 STATECHANGE DWELL_DONE HEATING
24-08-20 01:20:11:499 24-08-20 01:20:11 STATECHANGE HEATING DECAY
24-08-20 01:20:21:495 24-08-20 01:20:21 STATECHANGE DECAY POST_MEASURE
24-08-20 01:32:43:495 24-08-20 01:32:43 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-20 01:37:03:495 24-08-20 01:37:03 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-20 01:37:04:495 24-08-20 01:37:04 STATECHANGE AT_DEPTH AT_REST
24-08-20 01:37:05:495 24-08-20 01:37:05 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-20 01:37:15:496 24-08-20 01:37:15 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-20 01:37:16:497 24-08-20 01:37:16 STATECHANGE DWELL_DONE HEATING
24-08-20 01:37:36:495 24-08-20 01:37:36 STATECHANGE HEATING DECAY
24-08-20 01:37:46:496 24-08-20 01:37:46 STATECHANGE DECAY POST_MEASURE
24-08-20 01:49:43:495 24-08-20 01:49:43 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-20 01:54:48:497 24-08-20 01:54:48 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-20 01:54:49:496 24-08-20 01:54:49 STATECHANGE AT_DEPTH AT_REST
24-08-20 01:54:50:496 24-08-20 01:54:50 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-20 01:55:00:497 24-08-20 01:55:00 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-20 01:55:01:499 24-08-20 01:55:01 STATECHANGE DWELL_DONE HEATING
24-08-20 01:55:21:496 24-08-20 01:55:21 STATECHANGE HEATING DECAY
24-08-20 01:55:31:497 24-08-20 01:55:31 STATECHANGE DECAY POST_MEASURE
24-08-20 02:06:28:498 24-08-20 02:06:28 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-20 02:11:03:496 24-08-20 02:11:03 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-20 02:11:04:496 24-08-20 02:11:04 STATECHANGE AT_DEPTH AT_REST
24-08-20 02:11:05:496 24-08-20 02:11:05 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-20 02:11:15:496 24-08-20 02:11:15 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-20 02:11:16:497 24-08-20 02:11:16 STATECHANGE DWELL_DONE HEATING
24-08-20 02:11:36:496 24-08-20 02:11:36 STATECHANGE HEATING DECAY
24-08-20 02:11:46:496 24-08-20 02:11:46 STATECHANGE DECAY POST_MEASURE
24-08-20 02:23:08:496 24-08-20 02:23:08 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-20 02:27:33:496 24-08-20 02:27:33 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-20 02:27:34:496 24-08-20 02:27:34 STATECHANGE AT_DEPTH AT_REST
24-08-20 02:27:35:496 24-08-20 02:27:35 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-20 02:27:45:495 24-08-20 02:27:45 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-20 02:27:46:496 24-08-20 02:27:46 STATECHANGE DWELL_DONE HEATING
24-08-20 02:28:06:495 24-08-20 02:28:06 STATECHANGE HEATING DECAY
24-08-20 02:28:16:495 24-08-20 02:28:16 STATECHANGE DECAY POST_MEASURE
24-08-20 02:39:38:496 24-08-20 02:39:38 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-20 02:44:13:496 24-08-20 02:44:13 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-20 02:44:14:496 24-08-20 02:44:14 STATECHANGE AT_DEPTH AT_REST
24-08-20 02:44:15:496 24-08-20 02:44:15 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-20 02:44:25:495 24-08-20 02:44:25 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-20 02:44:26:496 24-08-20 02:44:26 STATECHANGE DWELL_DONE HEATING
24-08-20 02:44:46:495 24-08-20 02:44:46 STATECHANGE HEATING DECAY
24-08-20 02:44:56:495 24-08-20 02:44:56 STATECHANGE DECAY POST_MEASURE
24-08-20 02:54:53:496 24-08-20 02:54:53 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-20 02:57:38:496 24-08-20 02:57:38 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-20 02:57:39:496 24-08-20 02:57:39 STATECHANGE AT_DEPTH AT_REST
24-08-20 02:57:40:496 24-08-20 02:57:40 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-20 02:57:50:495 24-08-20 02:57:50 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-20 02:57:51:496 24-08-20 02:57:51 STATECHANGE DWELL_DONE HEATING
24-08-20 02:58:11:496 24-08-20 02:58:11 STATECHANGE HEATING DECAY
24-08-20 02:58:21:496 24-08-20 02:58:21 STATECHANGE DECAY POST_MEASURE
24-08-20 03:09:53:498 24-08-20 03:09:53 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-20 03:14:13:496 24-08-20 03:14:13 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-20 03:14:14:496 24-08-20 03:14:14 STATECHANGE AT_DEPTH AT_REST
24-08-20 03:14:15:496 24-08-20 03:14:15 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-20 03:14:25:496 24-08-20 03:14:25 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-20 03:14:26:496 24-08-20 03:14:26 STATECHANGE DWELL_DONE HEATING
24-08-20 03:14:46:496 24-08-20 03:14:46 STATECHANGE HEATING DECAY
24-08-20 03:14:56:496 24-08-20 03:14:56 STATECHANGE DECAY POST_MEASURE
24-08-20 03:26:53:496 24-08-20 03:26:53 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-20 03:31:43:496 24-08-20 03:31:43 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-20 03:31:44:497 24-08-20 03:31:44 STATECHANGE AT_DEPTH AT_REST
24-08-20 03:31:45:496 24-08-20 03:31:45 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-20 03:31:55:496 24-08-20 03:31:55 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-20 03:31:56:502 24-08-20 03:31:56 STATECHANGE DWELL_DONE HEATING
24-08-20 03:32:16:496 24-08-20 03:32:16 STATECHANGE HEATING DECAY
24-08-20 03:32:26:499 24-08-20 03:32:26 STATECHANGE DECAY POST_MEASURE
24-08-20 03:43:28:499 24-08-20 03:43:28 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-20 03:47:53:496 24-08-20 03:47:53 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-20 03:47:54:496 24-08-20 03:47:54 STATECHANGE AT_DEPTH AT_REST
24-08-20 03:47:55:496 24-08-20 03:47:55 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-20 03:48:05:496 24-08-20 03:48:05 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-20 03:48:06:497 24-08-20 03:48:06 STATECHANGE DWELL_DONE HEATING
24-08-20 03:48:26:496 24-08-20 03:48:26 STATECHANGE HEATING DECAY
24-08-20 03:48:36:496 24-08-20 03:48:36 STATECHANGE DECAY POST_MEASURE
24-08-20 04:00:08:496 24-08-20 04:00:08 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-20 04:04:33:496 24-08-20 04:04:33 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-20 04:04:34:496 24-08-20 04:04:34 STATECHANGE AT_DEPTH AT_REST
24-08-20 04:04:35:496 24-08-20 04:04:35 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-20 04:04:45:496 24-08-20 04:04:45 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-20 04:04:46:496 24-08-20 04:04:46 STATECHANGE DWELL_DONE HEATING
24-08-20 04:05:06:498 24-08-20 04:05:06 STATECHANGE HEATING DECAY
24-08-20 04:05:16:496 24-08-20 04:05:16 STATECHANGE DECAY POST_MEASURE
24-08-20 04:16:53:492 24-08-20 04:16:53 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-20 04:21:28:496 24-08-20 04:21:28 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-20 04:21:29:495 24-08-20 04:21:29 STATECHANGE AT_DEPTH AT_REST
24-08-20 04:21:30:495 24-08-20 04:21:30 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-20 04:21:40:496 24-08-20 04:21:40 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-20 04:21:41:497 24-08-20 04:21:41 STATECHANGE DWELL_DONE HEATING
24-08-20 04:22:01:495 24-08-20 04:22:01 STATECHANGE HEATING DECAY
24-08-20 04:22:11:495 24-08-20 04:22:11 STATECHANGE DECAY POST_MEASURE
24-08-20 04:33:08:495 24-08-20 04:33:08 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-20 04:37:38:495 24-08-20 04:37:38 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-20 04:37:39:495 24-08-20 04:37:39 STATECHANGE AT_DEPTH AT_REST
24-08-20 04:37:40:495 24-08-20 04:37:40 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-20 04:37:50:495 24-08-20 04:37:50 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-20 04:37:51:496 24-08-20 04:37:51 STATECHANGE DWELL_DONE HEATING
24-08-20 04:38:11:495 24-08-20 04:38:11 STATECHANGE HEATING DECAY
24-08-20 04:38:21:495 24-08-20 04:38:21 STATECHANGE DECAY POST_MEASURE
24-08-20 04:49:53:498 24-08-20 04:49:53 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-20 04:54:08:497 24-08-20 04:54:08 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-20 04:54:09:497 24-08-20 04:54:09 STATECHANGE AT_DEPTH AT_REST
24-08-20 04:54:10:496 24-08-20 04:54:10 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-20 04:54:20:497 24-08-20 04:54:20 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-20 04:54:21:498 24-08-20 04:54:21 STATECHANGE DWELL_DONE HEATING
24-08-20 04:54:41:497 24-08-20 04:54:41 STATECHANGE HEATING DECAY
24-08-20 04:54:51:497 24-08-20 04:54:51 STATECHANGE DECAY POST_MEASURE
24-08-20 05:06:48:500 24-08-20 05:06:48 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-20 05:11:33:500 24-08-20 05:11:33 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-20 05:11:34:497 24-08-20 05:11:34 STATECHANGE AT_DEPTH AT_REST
24-08-20 05:11:35:496 24-08-20 05:11:35 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-20 05:11:45:497 24-08-20 05:11:45 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-20 05:11:46:502 24-08-20 05:11:46 STATECHANGE DWELL_DONE HEATING
24-08-20 05:12:06:496 24-08-20 05:12:06 STATECHANGE HEATING DECAY
24-08-20 05:12:16:497 24-08-20 05:12:16 STATECHANGE DECAY POST_MEASURE
24-08-20 05:24:08:495 24-08-20 05:24:08 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-20 05:28:48:495 24-08-20 05:28:48 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-20 05:28:49:495 24-08-20 05:28:49 STATECHANGE AT_DEPTH AT_REST
24-08-20 05:28:50:496 24-08-20 05:28:50 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-20 05:29:00:496 24-08-20 05:29:00 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-20 05:29:01:496 24-08-20 05:29:01 STATECHANGE DWELL_DONE HEATING
24-08-20 05:29:21:495 24-08-20 05:29:21 STATECHANGE HEATING DECAY
24-08-20 05:29:31:495 24-08-20 05:29:31 STATECHANGE DECAY POST_MEASURE
24-08-20 05:40:23:496 24-08-20 05:40:23 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-20 05:44:48:496 24-08-20 05:44:48 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-20 05:44:49:496 24-08-20 05:44:49 STATECHANGE AT_DEPTH AT_REST
24-08-20 05:44:50:499 24-08-20 05:44:50 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-20 05:45:00:496 24-08-20 05:45:00 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-20 05:45:01:496 24-08-20 05:45:01 STATECHANGE DWELL_DONE HEATING
24-08-20 05:45:21:497 24-08-20 05:45:21 STATECHANGE HEATING DECAY
24-08-20 05:45:31:496 24-08-20 05:45:31 STATECHANGE DECAY POST_MEASURE
24-08-20 05:57:08:496 24-08-20 05:57:08 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-20 06:02:13:496 24-08-20 06:02:13 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-20 06:02:14:496 24-08-20 06:02:14 STATECHANGE AT_DEPTH AT_REST
24-08-20 06:02:15:495 24-08-20 06:02:15 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-20 06:02:25:495 24-08-20 06:02:25 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-20 06:02:26:496 24-08-20 06:02:26 STATECHANGE DWELL_DONE HEATING
24-08-20 06:02:46:495 24-08-20 06:02:46 STATECHANGE HEATING DECAY
24-08-20 06:02:56:495 24-08-20 06:02:56 STATECHANGE DECAY POST_MEASURE
24-08-20 06:14:48:495 24-08-20 06:14:48 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-20 06:19:43:496 24-08-20 06:19:43 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-20 06:19:44:496 24-08-20 06:19:44 STATECHANGE AT_DEPTH AT_REST
24-08-20 06:19:45:496 24-08-20 06:19:45 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-20 06:19:55:495 24-08-20 06:19:55 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-20 06:19:56:500 24-08-20 06:19:56 STATECHANGE DWELL_DONE HEATING
24-08-20 06:20:16:499 24-08-20 06:20:16 STATECHANGE HEATING DECAY
24-08-20 06:20:26:500 24-08-20 06:20:26 STATECHANGE DECAY POST_MEASURE
24-08-20 06:32:48:496 24-08-20 06:32:48 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-20 06:37:08:497 24-08-20 06:37:08 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-20 06:37:09:500 24-08-20 06:37:09 STATECHANGE AT_DEPTH AT_REST
24-08-20 06:37:10:498 24-08-20 06:37:10 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-20 06:37:20:497 24-08-20 06:37:20 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-20 06:37:21:499 24-08-20 06:37:21 STATECHANGE DWELL_DONE HEATING
24-08-20 06:37:41:499 24-08-20 06:37:41 STATECHANGE HEATING DECAY
24-08-20 06:37:51:497 24-08-20 06:37:51 STATECHANGE DECAY POST_MEASURE
24-08-20 06:49:49:497 24-08-20 06:49:49 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-20 06:54:54:499 24-08-20 06:54:54 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-20 06:54:55:496 24-08-20 06:54:55 STATECHANGE AT_DEPTH AT_REST
